order_id,customer_id,product_id,quantity,order_date,unit_price,total_price
1,196,B01N7WC4O2,3,2025-07-11,20.99,62.97
2,199,B00EZXURWY,1,2025-11-21,32.99,32.99
3,317,B07G845J5D,3,2025-06-20,74.99,224.96999999999997
4,435,B09DPR7KWV,2,2025-04-09,21.99,43.98
5,583,B09YT1LS4R,1,2025-07-15,8.66,8.66
6,389,B0CHW4WG45,4,2025-09-04,16.65,66.6
7,597,B0CFFXJVS4,5,2025-09-04,3.61,18.05
8,442,B00MIGFM1Q,2,2025-08-05,15.9,31.8
9,562,B0CBPD1Y69,5,2026-03-02,8.99,44.95
10,851,B09L756NXC,4,2025-08-18,18.9,75.6
11,602,B07D36LQ1D,2,2025-04-04,10.8,21.6
12,39,B0BBDBCK1L,4,2025-05-08,21.98,87.92
13,261,B07YF31LJK,2,2025-10-27,32.38,64.76
14,277,B0BB7CD6LB,2,2025-10-14,120.41,240.82
15,848,B0BY1TT75W,2,2025-12-22,11.99,23.98
16,275,B0CCT1VFZK,1,2025-04-01,377.94,377.94
17,180,B09N79VPYC,4,2025-09-05,26.9,107.6
18,208,B08WQ44KV8,2,2025-06-01,14.99,29.98
19,236,B08L446FVS,3,2025-10-08,3.6,10.8
20,688,B0C24B5ZQH,4,2025-09-08,13.19,52.76
21,625,B07J6R5M2Y,3,2025-08-18,20.04,60.12
22,719,B09L8DZBMW,5,2025-05-15,6.99,34.95
23,297,B0B5L8Q9HX,3,2025-11-04,59.99,179.97
24,142,B06XGMSQM9,5,2026-03-18,67.49,337.45
25,327,B09C3MQRT4,5,2026-03-02,25.99,129.95
26,831,B0CDQG8TN6,2,2025-12-12,44.19,88.38
27,572,B09S1B1DXZ,2,2026-02-21,68.63,137.26
28,956,B0C229DQ3Z,4,2025-07-01,6.12,24.48
29,940,B0C1VDS61H,5,2025-11-18,9.49,47.45
30,901,B00BXKXTB8,1,2025-05-03,40.0,40.0
31,376,B0CDXH36SK,3,2026-01-16,248.86,746.58
32,233,B0C3HXJ6HC,2,2025-10-15,86.11,172.22
33,170,B07PN4TJM7,4,2025-07-15,12.49,49.96
34,700,B0B3TW58FM,5,2025-12-24,26.27,131.35
